,Código [-],Gentílico [-],Prefeito [2021],Área Territorial - km² [2020],População estimada - pessoas [2020],Densidade demográfica - hab/km² [2010],Escolarização <span>6 a 14 anos</span> - % [2010],IDHM <span>Índice de desenvolvimento humano municipal</span> [2010],Mortalidade infantil - óbitos por mil nascidos vivos [2019],Receitas realizadas - R$ (×1000) [2017],Despesas empenhadas - R$ (×1000) [2017],PIB per capita - R$ [2018],Renda per capita,Região Turística,Domésticos,Internacionais,Categoria,Código,Expectativa de Vida
BOM JESUS DO ITABAPOANA,3300605.0,bom-jesuense,PAULO SERGIO TRAVASSOS DO CARMO CYRILLO,596.659,37203.0,59.13,98.1,0.732,17.14,99483.01549,98359.22036,20586.07,843.91,ÁGUAS DO NOROESTE,0.0,0.0,D,330060.0,74.0
CABO FRIO,3300704.0,cabo-friense,JOSÉ BONIFÁCIO FERREIRA NOVELLINO,413.449,230378.0,453.75,96.9,0.735,15.09,822362.47806,818453.96917,49297.56,1001.53,COSTA DO SOL,1209539.0,41049.0,A,330070.0,75.0
CACHOEIRAS DE MACACU,3300803.0,cachoeirense,RAFAEL MUZZI DE MIRANDA,954.749,59303.0,56.9,98.4,0.7,8.43,203269.87489,178476.24939,17638.69,721.07,SERRA VERDE IMPERIAL,0.0,82.0,C,330080.0,74.0
CAMBUCI,3300902.0,cambuciense,MAXWELL VIEIGA GUIMARAES,558.281,15514.0,26.4,98.8,0.691,6.37,60667.69616,55295.19124,21730.91,558.87,,,,,330090.0,73.0
CARAPEBUS,3300936.0,carapebuense,CHRISTIANE MIRANDA DE ANDRADE CORDEIRO,304.885,16586.0,43.36,98.7,0.713,-,90008.6306,83993.54822,32536.67,664.2,COSTA DO SOL,0.0,0.0,E,330093.0,73.0
COMENDADOR LEVY GASPARIAN,3300951.0,gaspariense,CLAUDIO MANNARINO,108.639,8576.0,76.53,99.4,0.685,-,44262.30107,33734.12898,45550.65,626.48,CAMINHOS COLONIAIS,2700.0,0.0,D,330095.0,72.0
CAMPOS DOS GOYTACAZES,3301009.0,campista,WLADIMIR BARROS ASSED MATHEUS DE OLIVEIRA,4032.487,511168.0,115.16,97.3,0.716,14.51,1734229.74139,1663244.70431,64186.76,764.02,COSTA DOCE,398380.0,5276.0,B,330100.0,74.0
CANTAGALO,3301108.0,cantagalense,JOAQUIM AUGUSTO CARVALHO DE PAULA,747.21,20168.0,26.47,95.4,0.709,19.14,93794.6147,81315.03497,36562.36,730.1,CAMINHOS DA SERRA,0.0,0.0,C,330110.0,74.0
CARDOSO MOREIRA,3301157.0,cardosense,GEANE CORDEIRO VINCLER,522.596,12821.0,24.02,98.6,0.648,24.39,65619.6093,53678.19872,21776.17,501.45,COSTA DOCE,19975.0,0.0,D,330115.0,71.0
CARMO,3301207.0,carmense,SÉRGIO LUIZ PERES SOARES,305.749,19030.0,54.15,98.6,0.696,14.56,73908.7174,68920.76148,24286.12,645.52,CAMINHOS DA SERRA,27911.0,0.0,D,330120.0,73.0
CASIMIRO DE ABREU,3301306.0,casimirense,RAMON DIAS GIDALTE,462.918,45041.0,76.71,98.5,0.726,6.85,238054.07146,197770.71161,50532.71,852.24,COSTA DO SOL,28116.0,2932.0,C,330130.0,73.0
